Mouse ID,Timepoint,Drug Regimen,Sex,Age_months,Weight (g),Tumor Volume,Metastatic Sites
h428,0,Ketapril,Female,1,27,45.0,0
h531,5,Ceftamin,Male,5,27,47.784681799999994,0
i177,45,Ramicane,Male,10,18,33.56240217,3
i334,45,Ramicane,Female,8,20,36.37451039,2
i386,40,Infubinol,Female,23,29,67.28962147,4
i477,10,Placebo,Female,3,30,47.52063206,0
i557,45,Capomulin,Female,1,24,47.68596303,1
i635,45,Propriva,Male,21,26,58.63340414,3
i669,25,Placebo,Female,18,27,53.30318455,2
i738,45,Capomulin,Female,23,20,37.31184577,2
i901,45,Stelasyn,Male,23,29,65.34181087,0
j119,45,Capomulin,Female,7,23,38.125164399999996,1
j235,20,Placebo,Male,6,30,52.94290169,1
j246,35,Capomulin,Female,21,21,38.75326548,1
j296,45,Ceftamin,Female,24,30,61.84902336,3
j365,45,Zoniferol,Male,24,28,64.29408493,2
j755,45,Naftisol,Male,23,27,69.56362076,1
j913,45,Ramicane,Female,4,17,31.56046955,1
j984,45,Stelasyn,Female,2,30,70.65383162,1
j989,45,Ramicane,Male,8,19,36.13485243,1
k210,45,Ceftamin,Male,15,28,68.92318457,3
k382,45,Ketapril,Male,22,29,73.71561899999999,4
k403,45,Ramicane,Male,21,16,22.05012627,1
k483,45,Infubinol,Female,20,30,66.19691151,3
k510,20,Stelasyn,Female,8,27,52.10557382,1
k603,20,Propriva,Male,2,27,50.18010935,0
k754,20,Zoniferol,Female,8,26,52.69342276,1
k804,35,Infubinol,Female,23,29,62.11727887,2
k862,45,Stelasyn,Female,13,25,69.29914907,4
k894,45,Zoniferol,Female,13,29,60.75270417,4
l215,10,Propriva,Male,10,29,53.653969599999996,1
l264,10,Ketapril,Female,15,30,50.65958094,0
l471,45,Ceftamin,Female,7,28,67.74866174,1
l490,30,Ceftamin,Male,24,26,57.91838132,3
l509,45,Capomulin,Male,17,21,41.48300765,3
l558,10,Ceftamin,Female,13,30,46.78453491,0
l661,45,Ceftamin,Male,18,26,59.85195552,3
l700,45,Naftisol,Female,18,27,63.94664044,1
l725,45,Naftisol,Female,8,26,76.66881742,3
l733,45,Ceftamin,Female,4,30,64.29983003,1
l872,0,Placebo,Male,19,30,45.0,0
l897,45,Capomulin,Male,17,19,38.84687569,1
m133,25,Naftisol,Female,2,26,54.08243662,2
m269,45,Stelasyn,Female,22,28,75.12368955,1
m331,15,Zoniferol,Female,19,26,52.11008758,1
m546,45,Ramicane,Male,18,16,30.56462509,1
m550,45,Ketapril,Male,18,28,69.25350312,4
m601,45,Capomulin,Male,22,17,28.43096411,1
m650,45,Ketapril,Male,15,27,73.90139912,4
m756,5,Infubinol,Male,19,30,47.01036401,1
m957,45,Capomulin,Female,3,19,33.32909778,1
n304,45,Naftisol,Male,9,26,63.58639514,4
n364,45,Ramicane,Male,4,17,31.09533505,1
n482,0,Propriva,Female,4,29,45.0,0
n630,5,Propriva,Female,15,29,46.09909969,0
n671,30,Infubinol,Male,18,25,60.16518046,0
n678,10,Propriva,Male,5,29,49.14570866,1
n763,40,Placebo,Female,16,25,58.01114583,4
n923,40,Ketapril,Male,19,30,66.22960554,3
n967,15,Zoniferol,Male,11,27,49.82500362,1
o287,45,Ceftamin,Male,2,28,59.74190064,4
o302,30,Placebo,Female,2,29,62.03059364,1
o331,45,Ketapril,Male,24,30,78.56701362,4
o523,10,Propriva,Female,6,25,47.0810859,1
o562,45,Propriva,Female,4,25,72.45542116,2
o725,15,Naftisol,Male,4,26,50.01507902,1
o795,45,Placebo,Female,20,26,73.05945435,4
o809,35,Infubinol,Male,3,25,55.62942846,1
o813,5,Infubinol,Male,24,28,45.69933088,0
o848,0,Stelasyn,Female,14,27,45.0,0
o926,45,Zoniferol,Male,15,29,62.32796606,4
o973,40,Ketapril,Female,11,29,64.48781246,2
p136,45,Zoniferol,Female,5,28,63.48869678,2
p189,45,Ketapril,Male,8,28,75.2949359,4
p310,25,Propriva,Male,6,26,55.34183416,2
p387,40,Stelasyn,Male,3,30,69.03887618,1
p438,45,Ceftamin,Female,11,26,61.43389223,1
p981,35,Stelasyn,Male,20,29,59.13102297,1
q119,10,Ketapril,Male,17,30,51.23660557,0
q132,30,Infubinol,Female,1,30,54.65654872,4
q483,40,Ceftamin,Male,6,26,64.19234114,1
q511,45,Zoniferol,Female,2,28,68.61106075,3
q582,35,Placebo,Male,5,30,53.71315792,2
q597,45,Ramicane,Male,20,25,45.22086888,2
q610,35,Ramicane,Female,18,21,36.56165229,2
q633,45,Zoniferol,Male,12,25,70.82779631,2
q787,45,Placebo,Male,17,27,66.09647477,3
r107,30,Propriva,Female,2,28,58.40647256,1
r157,15,Capomulin,Male,22,25,46.53920617,0
r554,45,Capomulin,Female,8,17,32.37735684,3
r604,45,Naftisol,Male,7,30,62.67075904,3
r701,45,Naftisol,Male,21,25,69.77854407,1
r811,45,Ramicane,Male,9,19,37.22565033,1
r850,15,Placebo,Male,5,30,50.21860469,1
r921,30,Ramicane,Female,5,25,43.41938077,1
r944,45,Capomulin,Male,12,25,41.58152074,2
s121,25,Infubinol,Male,23,26,55.65068132,2
s141,30,Propriva,Male,8,25,55.84141007,1
s152,25,Placebo,Female,4,30,64.11914213,2
s166,10,Placebo,Male,19,27,49.00012468,0
s185,45,Capomulin,Female,3,17,23.34359787,1
s187,30,Propriva,Male,22,25,60.00878263,2
s337,45,Zoniferol,Male,14,27,62.10965102,4
s508,45,Ramicane,Male,1,17,30.27623175,0
s565,45,Stelasyn,Female,3,29,72.58896447,2
s619,5,Stelasyn,Male,22,30,46.60226878,0
s710,45,Capomulin,Female,1,23,40.72857787,1
t198,45,Propriva,Male,22,26,64.91136268,4
t451,45,Stelasyn,Male,8,29,68.7116302,1
t565,45,Capomulin,Female,20,17,34.45529799,0
t573,0,Ceftamin,Female,15,27,45.0,0
t718,45,Placebo,Female,10,30,63.42369517,4
t724,45,Naftisol,Female,2,25,75.11328801,2
t994,20,Placebo,Male,14,30,56.52795159,1
u149,25,Ceftamin,Male,24,29,52.92534846,0
u153,0,Ceftamin,Female,11,25,45.0,0
u196,45,Ramicane,Male,18,25,40.66771292,3
u327,45,Ketapril,Male,17,25,66.26880133,2
u364,45,Capomulin,Male,18,17,31.02392294,3
u946,20,Propriva,Male,5,30,49.11004966,1
v199,0,Naftisol,Female,17,29,45.0,0
v289,25,Ketapril,Female,3,26,56.72009545,0
v295,40,Naftisol,Female,2,27,65.46607444,3
v339,5,Infubinol,Male,20,26,46.25011212,0
v409,10,Placebo,Female,16,25,50.64903842,1
v603,35,Ketapril,Female,22,30,63.18943184,1
v719,20,Infubinol,Female,17,30,54.04860769,1
v764,15,Stelasyn,Female,5,30,49.41262418,2
v766,15,Infubinol,Male,16,27,51.54243058,1
v835,20,Naftisol,Male,7,29,51.29654266,2
v923,45,Capomulin,Female,19,21,40.65812366,2
v989,10,Placebo,Male,4,25,52.61468889,1
v991,45,Propriva,Female,10,30,70.16774899,4
w140,5,Zoniferol,Female,19,30,47.71795156,0
w150,10,Capomulin,Male,23,23,39.95234669,0
w151,45,Ceftamin,Male,24,25,67.52748237,3
w167,35,Placebo,Female,6,28,68.13428817,0
w193,20,Infubinol,Male,22,30,50.00513807,0
w350,45,Propriva,Male,7,26,64.95756185,2
w422,45,Ketapril,Female,18,26,67.98953001,4
w540,25,Stelasyn,Female,8,26,52.60026955,2
w575,45,Zoniferol,Female,16,28,68.40128593,3
w584,30,Infubinol,Male,3,29,58.26844248,1
w678,5,Ramicane,Female,5,24,43.16637266,0
w697,35,Stelasyn,Female,14,30,63.68904216,3
w746,5,Propriva,Male,1,26,49.45327005,0
w914,45,Capomulin,Male,24,21,36.04104736,2
x111,10,Propriva,Female,24,27,49.12296898,1
x209,10,Propriva,Female,7,29,48.92989543,0
x226,0,Ceftamin,Male,23,28,45.0,0
x264,40,Naftisol,Female,21,27,63.28328821,4
x336,0,Naftisol,Female,4,29,45.0,0
x401,45,Capomulin,Female,16,15,28.48403281,0
x402,45,Stelasyn,Male,21,28,61.61960615,3
x581,45,Ceftamin,Female,19,28,64.63494887,3
x613,15,Zoniferol,Female,2,29,48.0776464,0
x773,45,Placebo,Female,21,30,58.63497149,4
x822,45,Ceftamin,Male,3,29,61.38666032,3
x930,25,Naftisol,Male,13,26,53.72610129999999,0
y163,45,Infubinol,Female,17,27,67.68556862,3
y260,45,Ketapril,Female,7,25,62.90944062,4
y449,15,Ramicane,Male,19,24,44.18345092,0
y478,45,Placebo,Female,3,25,66.84263453,1
y601,5,Naftisol,Female,23,25,48.47500273,1
y769,45,Ceftamin,Female,6,27,68.59474498,4
y793,45,Capomulin,Male,17,17,31.896238399999998,2
y865,45,Ceftamin,Male,23,26,64.72983655,3
z234,5,Naftisol,Female,19,27,46.12935706,1
z314,5,Stelasyn,Female,21,28,45.93471217,0
z435,10,Propriva,Female,12,26,48.71066147,0
z578,45,Ramicane,Male,11,16,30.63869575,0
z581,45,Infubinol,Female,24,25,62.75445141,3
z795,45,Naftisol,Female,13,29,65.74107029,3
z969,45,Naftisol,Male,9,30,73.86784476,4
